Пол,Сообщение
False, бошься один за закладками ходить так и пиши
False, Лол я и не подумал 
True, Проиграла
False, 1 ДС 19 кун 2 Курю выпиваю уебок 2 Нужен рандом кун пошароебиться по ночному ДС делать вообще нечего 4 friedrich3
True, Онли иди нахуй шлюха С ёбарем дружи Ты же ёбнутая дрищавая блядина Краумау ебать Хуй соси 
False, 1 Город 26 М 2 Алкаш инфантил деградант 3 Женщину для чего то 4 Телеграмм retardet
False, кун27 улан удэ кого нибудь
False, 1 Кун 23 ДС 175 65 2 Игры космос история работа учёба гонять на великах и развлекаться 3 Ищу кунов и тян для прохождения игр в кооп режиме А если серьёзно то ищу добрых хороших людей которым хочется разбавить свой круг общения _ 4 ftl23 телеграм
False, Ещё и чухан небось
False, Нет Ты просто шизик
False, Ну так в анкете это и написано нет 
False, 1 томск 25 кун 2 бурятские порномультики бухло кино 3 тян 19 общение отношения 4 
True, Тян 23 ДС 2 Ищу друзей м ж не важно Важно что не мужика для отношений а онли дружба Хочется иметь знакомства для совместного похода в бары за кофе обсуждения чего нибудь насущного криптовалют музыки игор работы IT Можно собираться на настолки Будет круто если наши цели будут схожи СПб для меня не родной город друзья после университета все растерялись на работе друзей не завелось Я обычная тян без этих ваших различных психических расстройств работаю располагаю свободным временем в выходные Могу с собой тусоваться брать своего мужчину интересы в целом такие же как описано выше Так же не очень хочется тусоваться со студентотой потому что возможности в финансовом плане особенно разные хочется быть с собеседником на равных Если ты путешествуешь тоже работаешь в IT любишь потреблядствовать на просторах Петербурга то ты классный ая пиши скооперируемся Для связи мыльчик mewgtfomew gmail com который также можно найти в скупе и написать туда
False, кун 15 мне бы тяночку для разговоров или куна моего возраста до 18 мб который хочет заняться самообразованием спортом в купе веселее же жду всех в тг 
False, того и добивался _ 
False, очередная пиздомразь
False, Зачем же ты так приложил эту недающую мразь Она же сейчас заплачет от безысходности и пойдёт в ванную резать себе венки
True, Тян 19 Общение а может что ещё 3 кунчика если можно
False, обыкновенная мразь из рода недающих
False, Эта пизда не даёт поехавшим суицидникам Не связывайтесь с ней пацаны
False, мразь недающая
False, а давать другу ты будешь 
True, Тян 23 лвл Ищу друга 23 Грустно и одиноко не с кем поговорить Из интересов музыка вокал фильмы видеоигры немного научпоп Неважно откуда ты но хотелось бы из ДС чтобы можно было иногда видеться ирл vk com necrosodom
True, привет я тяночка но без пруфов мне 16 я няка милашка хочу затусить с тобой и ммяу РРР напиши мне _ 
True, Престарелая тян 27лвл из ДС в поиске людей на этот вечер располагающих интересными в вами и готовыми ими поделиться за просто так или не за просто так На всякий случай уточню никаких сексов няшенья и целовашек Только в ва треши и угары Тг barashkova_a_f
True, Тян 23 лвл Ищу друга 23 Как то грустно и одиноко слишком В принципе нет разницы откуда ты но если из ДС то мы сможем перекатиться ирл Из интересов музыка вокал фильмы видеоигры vk com necrosodom
False, 1 СПб ДС2 23 М 2 Ищу напарницу из Питера обдолбаться мефом и приятно провести время этой ночью 3 Анон почта puyabikok p33 org
False, 1 28 ДС М 2 Есть мяу ищу девушку для компании 3 vingervinger
False, hhvld
True, Тян ДС2 Ищу кого нибудь потусить погулять попить пива в центре Кого нибудь поехавшего наркомана суицидника вегана сюда tyanahyana yandex ru сюда же можете свою телегу просто кинуть
False, а с Вами бывало такое что все вокруг постоянно Вас кидают ПОСТОЯННО Даже когда Вы находите человека общаетесь с ним Вы думаете что вот ЭТО ОНО ОН ОТЛИЧАЕТСЯ ОН ХОРОШИЙ но НЕТ Вам только кажется Да Напишите мне Зачем Нужно понять то как нам жить дальше в этом мире 
False, 1 Парень 2 Игры проебывание времени впустую 3 Мейта в игоры илм просто собеседника пол не важен 4 Телега likony
False, 1 Москва 23 М 2 Бизнес тачки код люблю гулять по Москве пешком или на тачке Бары посидеть попиздеть в уютной компании узнать что то новое вот это про меня 3 Ищу тян чтобы вместе охуительно проводить время благо оно самое имеется в избытке 4 Давай в телегу roma_rama
